,poverty_percentage,join_key
328,49.9,"(24.0, 2020)"
329,49.9,"(24.0, 2021)"
340,29.1,"(29.0, 2010)"
341,29.1,"(29.0, 2011)"
342,29.1,"(29.0, 2012)"
343,29.1,"(29.0, 2013)"
344,11.0,"(29.0, 2014)"
345,10.6,"(29.0, 2015)"
346,10.6,"(29.0, 2016)"
347,10.6,"(29.0, 2017)"
348,10.6,"(29.0, 2018)"
349,10.6,"(29.0, 2019)"
350,10.6,"(29.0, 2020)"
351,10.6,"(29.0, 2021)"
362,9.9,"(30.0, 2010)"
363,7.0,"(30.0, 2011)"
364,5.8,"(30.0, 2012)"
365,1.7,"(30.0, 2013)"
366,1.3,"(30.0, 2014)"
367,0.7,"(30.0, 2015)"
368,0.5,"(30.0, 2016)"
369,0.4,"(30.0, 2017)"
370,0.3,"(30.0, 2018)"
371,0.2,"(30.0, 2019)"
372,0.2,"(30.0, 2020)"
373,0.2,"(30.0, 2021)"
384,0.0,"(31.0, 2010)"
385,0.0,"(31.0, 2011)"
386,0.0,"(31.0, 2012)"
387,0.0,"(31.0, 2013)"
388,0.0,"(31.0, 2014)"
389,0.0,"(31.0, 2015)"
390,0.0,"(31.0, 2016)"
391,0.0,"(31.0, 2017)"
392,0.0,"(31.0, 2018)"
393,0.0,"(31.0, 2019)"
394,0.0,"(31.0, 2020)"
395,0.0,"(31.0, 2021)"
406,1.4,"(32.0, 2010)"
407,1.1,"(32.0, 2011)"
408,1.2,"(32.0, 2012)"
409,1.0,"(32.0, 2013)"
410,0.9,"(32.0, 2014)"
411,0.9,"(32.0, 2015)"
412,1.1,"(32.0, 2016)"
413,0.9,"(32.0, 2017)"
414,1.4,"(32.0, 2018)"
415,1.5,"(32.0, 2019)"
416,1.5,"(32.0, 2020)"
417,1.5,"(32.0, 2021)"
428,24.9,"(34.0, 2010)"
429,20.0,"(34.0, 2011)"
430,18.3,"(34.0, 2012)"
431,16.3,"(34.0, 2013)"
432,14.5,"(34.0, 2014)"
433,14.5,"(34.0, 2015)"
434,14.5,"(34.0, 2016)"
435,14.5,"(34.0, 2017)"
436,14.5,"(34.0, 2018)"
437,14.5,"(34.0, 2019)"
438,14.5,"(34.0, 2020)"
439,14.5,"(34.0, 2021)"
450,9.5,"(35.0, 2010)"
451,8.3,"(35.0, 2011)"
452,7.4,"(35.0, 2012)"
453,6.1,"(35.0, 2013)"
454,5.2,"(35.0, 2014)"
455,4.7,"(35.0, 2015)"
456,4.0,"(35.0, 2016)"
457,3.4,"(35.0, 2017)"
458,2.8,"(35.0, 2018)"
459,2.3,"(35.0, 2019)"
460,2.3,"(35.0, 2020)"
461,2.3,"(35.0, 2021)"
472,0.3,"(36.0, 2010)"
473,0.3,"(36.0, 2011)"
474,0.3,"(36.0, 2012)"
475,0.3,"(36.0, 2013)"
476,0.5,"(36.0, 2014)"
477,0.5,"(36.0, 2015)"
478,0.5,"(36.0, 2016)"
479,0.5,"(36.0, 2017)"
480,0.5,"(36.0, 2018)"
481,0.5,"(36.0, 2019)"
482,0.5,"(36.0, 2020)"
483,0.5,"(36.0, 2021)"
494,0.9,"(39.0, 2010)"
495,1.1,"(39.0, 2011)"
496,1.3,"(39.0, 2012)"
497,1.2,"(39.0, 2013)"
498,1.3,"(39.0, 2014)"
499,1.3,"(39.0, 2015)"
500,1.5,"(39.0, 2016)"
501,1.2,"(39.0, 2017)"
502,1.0,"(39.0, 2018)"
503,0.9,"(39.0, 2019)"
504,0.9,"(39.0, 2020)"
505,0.9,"(39.0, 2021)"
516,0.5,"(40.0, 2010)"
517,0.4,"(40.0, 2011)"
518,0.6,"(40.0, 2012)"
519,0.3,"(40.0, 2013)"
520,0.2,"(40.0, 2014)"
521,0.7,"(40.0, 2015)"
522,0.7,"(40.0, 2016)"
523,0.3,"(40.0, 2017)"
524,0.6,"(40.0, 2018)"
525,0.6,"(40.0, 2019)"
526,0.6,"(40.0, 2020)"
527,0.6,"(40.0, 2021)"
538,19.2,"(50.0, 2010)"
539,19.2,"(50.0, 2011)"
540,19.2,"(50.0, 2012)"
541,19.2,"(50.0, 2013)"
542,19.2,"(50.0, 2014)"
543,19.2,"(50.0, 2015)"
544,14.3,"(50.0, 2016)"
545,14.3,"(50.0, 2017)"
546,14.3,"(50.0, 2018)"
547,14.3,"(50.0, 2019)"
548,14.3,"(50.0, 2020)"
549,14.3,"(50.0, 2021)"
560,1.0,"(51.0, 2010)"
561,1.2,"(51.0, 2011)"
562,0.9,"(51.0, 2012)"
563,1.8,"(51.0, 2013)"
564,1.5,"(51.0, 2014)"
565,1.3,"(51.0, 2015)"
566,1.2,"(51.0, 2016)"
567,0.9,"(51.0, 2017)"
568,1.4,"(51.0, 2018)"
569,1.1,"(51.0, 2019)"
570,1.1,"(51.0, 2020)"
571,1.1,"(51.0, 2021)"
582,0.3,"(53.0, 2010)"
583,0.4,"(53.0, 2011)"
584,0.4,"(53.0, 2012)"
585,0.5,"(53.0, 2013)"
586,0.5,"(53.0, 2014)"
587,0.5,"(53.0, 2015)"
588,0.5,"(53.0, 2016)"
589,0.5,"(53.0, 2017)"
590,0.5,"(53.0, 2018)"
591,0.5,"(53.0, 2019)"
592,0.5,"(53.0, 2020)"
593,0.5,"(53.0, 2021)"
604,32.9,"(54.0, 2010)"
605,32.8,"(54.0, 2011)"
606,32.0,"(54.0, 2012)"
607,32.0,"(54.0, 2013)"
608,32.0,"(54.0, 2014)"
609,32.0,"(54.0, 2015)"
610,32.0,"(54.0, 2016)"
611,32.0,"(54.0, 2017)"
612,32.0,"(54.0, 2018)"
613,32.0,"(54.0, 2019)"
614,32.0,"(54.0, 2020)"
615,32.0,"(54.0, 2021)"
626,0.1,"(56.0, 2010)"
627,0.2,"(56.0, 2011)"
628,0.2,"(56.0, 2012)"
629,0.1,"(56.0, 2013)"
630,0.1,"(56.0, 2014)"
631,0.1,"(56.0, 2015)"
632,0.1,"(56.0, 2016)"
633,0.1,"(56.0, 2017)"
