,join_key,R&D_proportion_of_GDP
389,"(100, 2015)",0.95201
390,"(100, 2016)",0.77217
391,"(100, 2017)",0.74308
392,"(100, 2018)",0.75565
393,"(100, 2019)",0.75565
394,"(100, 2020)",0.75565
395,"(100, 2021)",0.75565
406,"(104, 2010)",0.16216
407,"(104, 2011)",0.16216
408,"(104, 2012)",0.16216
409,"(104, 2013)",0.16216
410,"(104, 2014)",0.16216
411,"(104, 2015)",0.16216
412,"(104, 2016)",0.16216
413,"(104, 2017)",0.03105
414,"(104, 2018)",0.03105
415,"(104, 2019)",0.03105
416,"(104, 2020)",0.03105
417,"(104, 2021)",0.03105
428,"(108, 2010)",0.13719
429,"(108, 2011)",0.13719
430,"(108, 2012)",0.10702
431,"(108, 2013)",0.10702
432,"(108, 2014)",0.10702
433,"(108, 2015)",0.10702
434,"(108, 2016)",0.10702
435,"(108, 2017)",0.10702
436,"(108, 2018)",0.21312
437,"(108, 2019)",0.21312
438,"(108, 2020)",0.21312
439,"(108, 2021)",0.21312
450,"(112, 2010)",0.66913
451,"(112, 2011)",0.6776
452,"(112, 2012)",0.64603
453,"(112, 2013)",0.65191
454,"(112, 2014)",0.50548
455,"(112, 2015)",0.49999
456,"(112, 2016)",0.50063
457,"(112, 2017)",0.58411
458,"(112, 2018)",0.60443
459,"(112, 2019)",0.60443
460,"(112, 2020)",0.60443
461,"(112, 2021)",0.60443
472,"(116, 2010)",0.0498
473,"(116, 2011)",0.0498
474,"(116, 2012)",0.0498
475,"(116, 2013)",0.0498
476,"(116, 2014)",0.0498
477,"(116, 2015)",0.11823
478,"(116, 2016)",0.11823
479,"(116, 2017)",0.11823
480,"(116, 2018)",0.11823
481,"(116, 2019)",0.11823
482,"(116, 2020)",0.11823
483,"(116, 2021)",0.11823
494,"(124, 2010)",1.82958
495,"(124, 2011)",1.79132
496,"(124, 2012)",1.77232
497,"(124, 2013)",1.7054
498,"(124, 2014)",1.71417
499,"(124, 2015)",1.69324
500,"(124, 2016)",1.72873
501,"(124, 2017)",1.66886
502,"(124, 2018)",1.56287
503,"(124, 2019)",1.54266
504,"(124, 2020)",1.54266
505,"(124, 2021)",1.54266
517,"(132, 2011)",0.07264
518,"(132, 2012)",0.07264
519,"(132, 2013)",0.07264
520,"(132, 2014)",0.07264
521,"(132, 2015)",0.07264
522,"(132, 2016)",0.07264
523,"(132, 2017)",0.07264
524,"(132, 2018)",0.07264
525,"(132, 2019)",0.07264
526,"(132, 2020)",0.07264
527,"(132, 2021)",0.07264
538,"(144, 2010)",0.13687
539,"(144, 2011)",0.13687
540,"(144, 2012)",0.13687
541,"(144, 2013)",0.10081
542,"(144, 2014)",0.09989
543,"(144, 2015)",0.10871
544,"(144, 2016)",0.12854
545,"(144, 2017)",0.12758
546,"(144, 2018)",0.12758
547,"(144, 2019)",0.12758
548,"(144, 2020)",0.12758
549,"(144, 2021)",0.12758
566,"(148, 2016)",0.3005
567,"(148, 2017)",0.3005
568,"(148, 2018)",0.3005
569,"(148, 2019)",0.3005
