,year,navarea_i,navarea_ii,navarea_iii,navarea_iv,navarea_ix,navarea_v,navarea_vi,navarea_vii,navarea_viii,navarea_x,navarea_xi,navarea_xii,navarea_xiii,navarea_xiv,navarea_xv,navarea_xvi,poverty_percentage,attacks,math_benchmark_percent,reading_benchmark_percent,sea_law_adoption,R&D_proportion_of_GDP,full_time_researchers_per_million,high_risk
3145,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38.0,7,0.0,0.0,0.0,0.03158,35.48821,0
3160,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78.8,2,0.0,0.0,50.0,0.01264,24.70438,0
3188,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.4,21,29.74863,49.00791,0.0,1.09392,887.67844,1
3192,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,30,78.9,79.6,95.0,2.11603,1224.7822,1
3196,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.9,40,34.6132,50.09685,50.0,0.23462,88.0191,1
3205,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.3,19,29.0676,49.41969,57.0,0.44266,399.48996,1
3208,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.6,14,0.0,0.0,0.0,25.0,10.0,0
3217,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8,17,0.0,0.0,0.0,0.0704,69.13831,1
3218,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,30,78.9,79.6,95.0,2.14058,1307.12128,1
3220,2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37.1,10,0.0,0.0,0.0,0.78577,221.38592,0
3233,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.5,71,39.5,38.3,0.0,0.65282,252.70392,1
3239,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,33,0.0,0.0,0.0,25.0,32.5349,1
3252,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,63.7,11,0.0,0.0,0.0,0.31312,42.96538,0
3283,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.4,21,31.90613,50.04612,0.0,1.16038,887.67844,1
3284,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,5,47.74702,57.5194,0.0,0.08399,566.97051,0
3316,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,3,83.26803,81.93602,0.0,1.98308,4887.21604,0
3319,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,12,4.84779,0.0,0.0,0.37655,89.11206,0
3328,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.8,3,10.63765,29.94714,0.0,0.02957,14.07038,0
3348,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,1,84.53711,86.34297,93.0,3.98704,7086.44637,0
3355,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.7,9,18.81942,35.68967,87.0,0.14714,39.10899,0
3358,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,1,0.0,0.0,0.0,25.0,10.0,0
3382,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,12,0.0,0.0,65.0,25.0,10.0,0
3389,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0,3,11.1165,0.0,0.0,0.81516,10.0,0
3398,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1,76.23528,82.76737,85.0,1.31928,4367.73282,0
3417,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,4,0.0,0.0,37.0,25.0,10.0,0
3465,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.8,74,80.89702,86.15665,0.0,0.52674,707.74357,1
3471,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.3,73,0.0,0.0,0.0,25.0,10.0,1
3474,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17.0,15,0.0,0.0,0.0,25.0,10.0,1
3508,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24.5,20,0.0,0.0,0.0,25.0,10.0,1
3511,2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49.4,16,0.0,0.0,0.0,0.51456,19.15202,1
3516,2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.5,71,39.5,38.3,0.0,0.65282,252.70392,1
3529,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.6,21,31.90613,50.04612,0.0,1.16038,887.67844,1
3530,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,98,58.50222,54.1672,60.0,1.04086,2184.7224,1
3552,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14,78.74437,79.06275,0.0,2.19294,4715.31913,0
3554,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0,40,0.0,0.0,0.0,25.0,10.0,1
3555,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,19,0.0,0.0,0.0,0.12028,10.0,1
3557,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.0,17,92.0,88.75278,0.0,1.92465,6802.53716,1
3560,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,10,0.0,0.0,0.0,25.0,10.0,0
